time,reference[0],reference[1],output_ideal[0],output_ideal[1],output_secure[0],output_secure[1],control_ideal[0],control_ideal[1],control_secure[0],control_secure[1],control_error[0],control_error[1],output_error[0],output_error[1]
18,0,0,1.794084049015112,2.5953654852535717,1.7940840490151022,2.5953654852535535,-2.8214261209527631,-3.9447316253527713,-2.8214261209527733,-3.94473162535281,1.021405182655144e-14,3.8635761256955448e-14,9.7699626167013776e-15,1.8207657603852567e-14
18.5,0,0,1.7321408030277199,2.5462503215240129,1.7321408030277097,2.5462503215239942,-2.7053017900478058,-3.8395660938100349,-2.705301790047816,-3.8395660938100717,1.021405182655144e-14,3.6859404417555197e-14,1.021405182655144e-14,1.865174681370263e-14
19,0,0,1.6719126264679081,2.4982514702113869,1.6719126264678974,2.4982514702113678,-2.5929065604412029,-3.7376354029623418,-2.5929065604412154,-3.7376354029623786,1.2434497875801753e-14,3.6859404417555197e-14,1.0658141036401503e-14,1.9095836023552692e-14
19.5,0,0,1.6133586752146185,2.4513400674230756,1.6133586752146074,2.4513400674230557,-2.4841339762623638,-3.6388362259310232,-2.484133976262374,-3.6388362259310583,1.021405182655144e-14,3.5083047578154947e-14,1.1102230246251565e-14,1.9984014443252818e-14
20,0,0,1.5564388134879841,2.4054880915398367,1.5564388134879725,2.4054880915398162,-2.3788802154052822,-3.5430685616808462,-2.3788802154052924,-3.543068561680883,1.021405182655144e-14,3.6859404417555197e-14,1.1546319456101628e-14,2.042810365310288e-14
20.5,0,0,1.5011136164710959,2.3606683354726044,1.5011136164710841,2.360668335472583,-2.2770440442420496,-3.450235629171571,-2.2770440442420585,-3.4502356291716039,8.8817841970012523e-15,3.2862601528904634e-14,1.1768364061026659e-14,2.1316282072803006e-14
21,0,0,1.4473443717403498,2.3168543799147692,1.4473443717403374,2.3168543799147474,-2.1785267714605459,-3.3602437642967771,-2.1785267714605521,-3.3602437642968077,6.2172489379008766e-15,3.0642155479654321e-14,1.2434497875801753e-14,2.1760371282653068e-14
21.5,0,0,1.3950930796014605,2.2740205675601652,1.3950930796014476,2.274020567560143,-2.0832322013688302,-3.2730023197698772,-2.0832322013688369,-3.2730023197699079,6.6613381477509392e-15,3.0642155479654321e-14,1.2878587085651816e-14,2.2204460492503131e-14
22,0,0,1.3443224524182107,2.232141978254409,1.3443224524181974,2.2321419782543868,-1.9910665869014741,-3.1884235680142026,-1.9910665869014794,-3.1884235680142332,5.3290705182007514e-15,3.0642155479654321e-14,1.3322676295501878e-14,2.2204460492503131e-14
22.5,0,0,1.2949959130133082,2.1911944050462622,1.2949959130132946,2.19119440504624,-1.9019385824957307,-3.1064226070525125,-1.9019385824957349,-3.1064226070525387,4.2188474935755949e-15,2.6201263381153694e-14,1.354472090042691e-14,2.2204460492503131e-14
23,0,0,1.2470775922145181,2.1511543311056696,1.2470775922145043,2.1511543311056469,-1.8157591969625277,-3.0269172693552222,-1.8157591969625291,-3.0269172693552484,1.3322676295501878e-15,2.6201263381153694e-14,1.3766765505351941e-14,2.2648549702353193e-14
23.5,0,0,1.2005323256140286,2.1119989074756353,1.2005323256140146,2.1119989074756127,-1.7324417464493103,-2.9498280335857956,-1.7324417464493129,-2.9498280335858196,2.6645352591003757e-15,2.3980817331903381e-14,1.3988810110276972e-14,2.2648549702353193e-14
24,0,0,1.155325649604465,2.0737059316259518,1.1553256496044508,2.0737059316259288,-1.6519018075730587,-2.875077939170319,-1.6519018075730585,-2.8750779391703425,-2.2204460492503131e-16,2.3536728122053319e-14,1.4210854715202004e-14,2.3092638912203256e-14
24.5,0,0,1.1114237967509124,2.0362538267777817,1.1114237967508982,2.0362538267777581,-1.5740571707887969,-2.8025925036124431,-1.5740571707887976,-2.8025925036124661,6.6613381477509392e-16,2.3092638912203256e-14,1.4210854715202004e-14,2.3536728122053319e-14
25,0,0,1.0687936905546129,1.9996216219692051,1.0687936905545983,1.9996216219691816,-1.4988277940494759,-2.7322996424724266,-1.4988277940494752,-2.7322996424724497,-6.6613381477509392e-16,2.3092638912203256e-14,1.4654943925052066e-14,2.3536728122053319e-14
